ID;Subject_ID;Hierarchy_Level;School Code;Tests Taken;Score=1;Score=2;Score=3;Score=4;Score=5;% Score 1-2;% Score 3-5
125;0;0;01110505;      50;       9;      19;      12;       8;       2;  56,0;  44,0
126;0;0;39010900;      11;       2;       1;       2;       3;       3;  27,3;  72,7
127;0;0;08210605;     114;      32;      44;      29;       7;       2;  66,7;  33,3
128;0;0;08280605;     223;      62;      79;      56;      21;       5;  63,2;  36,8
129;0;0;08250605;     104;      35;      32;      20;      17;       0;  64,4;  35,6
130;0;0;01140505;      96;      14;      25;      35;      15;       7;  40,6;  59,4
131;0;0;06730505;     335;      20;      66;      87;      84;      78;  25,7;  74,3
132;0;0;01170505;      44;       6;      12;      12;       9;       5;  40,9;  59,1
133;0;0;06750505;     331;      17;      37;     107;      98;      72;  16,3;  83,7
134;0;0;04990305;     192;      44;      44;      46;      37;      21;  45,8;  54,2
135;0;0;35160305;       4;;;;;;;
136;0;0;06800505;     298;      24;      49;      85;      86;      54;  24,5;  75,5
137;0;0;06830505;     157;       7;      32;      46;      49;      23;  24,8;  75,2
138;0;0;01220505;     428;      26;      73;     134;     139;      56;  23,1;  76,9
139;0;0;01250505;     237;       5;       9;      41;      77;     105;   5,9;  94,1
140;0;0;01270505;      18;       2;       9;       6;       1;       0;  61,1;  38,9
141;0;0;01280505;     406;      60;     119;     104;      81;      42;  44,1;  55,9
142;0;0;01310505;     588;       7;      29;     144;     184;     224;   6,1;  93,9
143;0;0;01330505;      37;       4;       6;       9;      14;       4;  27,0;  73,0
144;0;0;01360505;     423;      36;      71;     112;     118;      86;  25,3;  74,7
145;0;0;01370505;     196;      72;      69;      38;      14;       3;  71,9;  28,1
146;0;0;06030505;     121;      50;      38;      25;       8;       0;  72,7;  27,3
147;0;0;01380505;     192;      18;      24;      71;      53;      26;  21,9;  78,1
148;0;0;01390505;   1236;      26;      93;     227;     387;     503;   9,6;  90,4
149;0;0;01410505;     334;      67;      97;     102;      39;      29;  49,1;  50,9
150;0;0;01420505;     138;      11;      26;      36;      38;      27;  26,8;  73,2
151;0;0;04350305;      18;      10;       6;       1;       1;       0;  88,9;  11,1
152;0;0;01440505;     302;       4;      24;      83;     111;      80;   9,3;  90,7
153;0;0;04290010;     246;      66;      71;      66;      32;      11;  55,7;  44,3
154;0;0;06900505;     987;     145;     191;     260;     226;     165;  34,0;  66,0
155;0;0;01490515;     925;     540;     139;     121;      74;      51;  73,4;  26,6
156;0;0;01500505;      93;      14;      22;      40;      13;       4;  38,7;  61,3
157;0;0;01510505;     100;       6;      19;      42;      20;      13;  25,0;  75,0
158;0;0;01520505;     119;      34;      33;      23;      15;      14;  56,3;  43,7
159;0;0;01530605;      41;       3;      14;       8;      13;       3;  41,5;  58,5
160;0;0;01530505;     226;      34;      52;      61;      62;      17;  38,1;  61,9
161;0;0;01550505;   2555;      52;     169;     402;     744;   1,188;   8,6;  91,4
162;0;0;35140305;      76;      49;      10;      10;       6;       1;  77,6;  22,4
163;0;0;06950505;     530;      11;      16;      89;     161;     253;   5,1;  94,9
164;0;0;01580505;     237;      22;      32;      56;      72;      55;  22,8;  77,2
165;0;0;01590505;     444;       6;      35;     121;     144;     138;   9,2;  90,8
166;0;0;01600505;     389;      99;     111;      95;      56;      28;  54,0;  46,0
167;0;0;01610505;     315;      36;      73;      91;      74;      41;  34,6;  65,4
168;0;0;01620505;     165;       8;      32;      63;      43;      19;  24,2;  75,8
169;0;0;01630505;     371;     144;      96;      81;      36;      14;  64,7;  35,3
170;0;0;01630510;     287;     117;      68;      58;      29;      15;  64,5;  35,5
171;0;0;01630605;      21;       7;       6;       5;       3;       0;  61,9;  38,1
