"id";"subject_id";"hierarchy_level";"School Code";"Tests Taken";"Score=1";"Score=2";"Score=3";"Score=4";"Score=5";"% Score 1-2";"% Score 3-5"
732;4;2;2140505;5;0.0000000000000000000000000000;0.8333333333333333333333333334;1.250000000000000000000000000;1.250000000000000000000000000;1.666666666666666666666666667;16.66666666666666666666666667;83.33333333333333333333333334
6006;40;2;2140505;8;0.0;0.0;2.4;3.2;2.4;0;100
6223;41;2;2140505;1;0.0;0.0;0.3;0.4;0.3;0;100
6575;45;2;2140505;1;0.0;0.0;0.3;0.4;0.3;0;100
2344;18;2;2140505;6;0.00000000000000000000000000000000000000000000000000000000;1.000000000000000000000000000;1.500000000000000000000000000;1.500000000000000000000000000;2.000000000000000000000000000;16.66666666666666666666666667;83.33333333333333333333333333
2136;13;2;2140505;1;0.00000000000000000000000000000000000000000000000000000000;0.1666666666666666666666666668;0.2500000000000000000000000001;0.2500000000000000000000000001;0.3333333333333333333333333334;16.66666666666666666666666668;83.33333333333333333333333336
3087;25;2;2140505;8;0.8;1.6;1.6;2.4;1.6;30;70
2823;22;2;2140505;1;0.1;0.2;0.2;0.3;0.2;30;70
2917;23;2;2140505;1;0.1;0.2;0.2;0.3;0.2;30;70
4954;36;2;2140505;1;0.0000000000000000000000000000;0.0000000000000000000000000000;0.1666666666666666666666666667;0.6666666666666666666666666668;0.1666666666666666666666666667;0.0;100
5197;37;2;2140505;5;0.0000000000000000000000000000;0.0000000000000000000000000000;0.8333333333333333333333333333;3.333333333333333333333333333;0.8333333333333333333333333333;0.0;100
484;1;1;2810475;5;0;2;2;1;0;40;60
615;2;2;2810475;5;0;2;2;1;0;40;60
1922;9;2;7650505;6;1.058823529411764705882352941;1.058823529411764705882352941;2.117647058823529411764705883;0.7058823529411764705882352942;1.058823529411764705882352941;35.2941176470588235294117647;64.7058823529411764705882353
2676;20;1;7650505;9;1.588235294117647058823529412;1.588235294117647058823529412;3.176470588235294117647058824;1.058823529411764705882352941;1.588235294117647058823529412;35.29411764705882352941176471;64.70588235294117647058823529
5544;38;1;7650505;2;0.3529411764705882352941176472;0.3529411764705882352941176472;0.7058823529411764705882352944;0.2352941176470588235294117648;0.3529411764705882352941176472;35.29411764705882352941176470;64.70588235294117647058823527
2371;18;2;7650505;6;1.058823529411764705882352941;1.058823529411764705882352941;2.117647058823529411764705883;0.7058823529411764705882352942;1.058823529411764705882352941;35.2941176470588235294117647;64.7058823529411764705882353
3459;27;2;7650505;9;1.588235294117647058823529412;1.588235294117647058823529412;3.176470588235294117647058824;1.058823529411764705882352941;1.588235294117647058823529412;35.29411764705882352941176471;64.70588235294117647058823529
5827;39;2;7650505;2;0.3529411764705882352941176472;0.3529411764705882352941176472;0.7058823529411764705882352944;0.2352941176470588235294117648;0.3529411764705882352941176472;35.29411764705882352941176470;64.70588235294117647058823527
485;1;1;2810510;5;3;2;0;0;0;100;0
748;4;2;2810510;1;0.6;0.4;0.0;0.0;0.0;100;0
828;5;2;2810510;4;2.4;1.6;0.0;0.0;0.0;100;0
6037;40;2;2810510;6;2.470588235294117647058823530;1.411764705882352941176470588;1.764705882352941176470588236;0.3529411764705882352941176471;0.0000000000000000000000000000;64.70588235294117647058823529;35.29411764705882352941176471
6607;45;2;2810510;7;2.882352941176470588235294117;1.647058823529411764705882353;2.058823529411764705882352941;0.4117647058823529411764705882;0.0000000000000000000000000000;64.70588235294117647058823529;35.29411764705882352941176471
5829;39;2;2810510;4;1.647058823529411764705882353;0.9411764705882352941176470588;1.176470588235294117647058824;0.2352941176470588235294117647;0.0000000000000000000000000000;64.70588235294117647058823528;35.29411764705882352941176472
1701;8;2;2810510;3;1.636363636363636363636363636;1.363636363636363636363636364;0.0000000000000000000000000000;0.0000000000000000000000000000;0.0000000000000000000000000000;100;0.0
1411;7;1;2810510;8;4.363636363636363636363636364;3.636363636363636363636363636;0.0000000000000000000000000000;0.0000000000000000000000000000;0.0000000000000000000000000000;100;0.0
3841;30;2;2810510;9;4;1;3;1;0;55.55555555555555555555555556;44.44444444444444444444444444
4450;32;2;2810510;8;4.0;2.5;1.0;0.0;0.5;81.25;18.75
4990;36;2;2810510;2;1.000;0.625;0.250;0.000;0.125;81.25;18.75
5245;37;2;2810510;6;3.000;1.875;0.750;0.000;0.375;81.25;18.75
803;5;2;1710505;2;1;1;0;0;0;100;0
5974;40;2;1710505;9;0;0;5;4;0;0;100
2061;11;2;1710505;1;0;1;0;0;0;100;0
397;1;1;6800505;7;0.0000000000000000000000000000;0.6363636363636363636363636364;1.272727272727272727272727273;4.454545454545454545454545455;0.6363636363636363636363636364;9.090909090909090909090909091;90.90909090909090909090909091
1830;9;2;6800505;4;0.0000000000000000000000000000;0.3636363636363636363636363636;0.7272727272727272727272727272;2.545454545454545454545454545;0.3636363636363636363636363636;9.09090909090909090909090909;90.9090909090909090909090909
555;2;2;6800505;2;0.00000000000000000000000000000000000000000000000000000000;0.1818181818181818181818181818;0.3636363636363636363636363637;1.272727272727272727272727273;0.1818181818181818181818181818;9.09090909090909090909090909;90.90909090909090909090909095
646;3;2;6800505;1;0.00000000000000000000000000000000000000000000000000000000;0.09090909090909090909090909094;0.1818181818181818181818181819;0.6363636363636363636363636366;0.09090909090909090909090909094;9.090909090909090909090909094;90.90909090909090909090909094
705;4;2;6800505;4;0.00000000000000000000000000000000000000000000000000000000;0.3636363636363636363636363636;0.7272727272727272727272727274;2.545454545454545454545454546;0.3636363636363636363636363636;9.090909090909090909090909088;90.90909090909090909090909090
2285;18;2;6800505;4;0.0000000000000000000000000000;0.3636363636363636363636363636;0.7272727272727272727272727272;2.545454545454545454545454545;0.3636363636363636363636363636;9.09090909090909090909090909;90.9090909090909090909090909
6799;49;2;6800505;5;0;0;1;1;3;0;100
4552;33;2;6800505;9;0;0;0;0;9;0;100
612;2;2;2660505;6;0.0;0.8;2.0;2.0;1.2;13.33333333333333333333333333;86.66666666666666666666666667
669;3;2;2660505;1;0.00000000000000000000000000000;0.1333333333333333333333333333;0.3333333333333333333333333334;0.3333333333333333333333333334;0.2000000000000000000000000000;13.33333333333333333333333333;86.66666666666666666666666668
745;4;2;2660505;1;0.00000000000000000000000000000;0.1333333333333333333333333333;0.3333333333333333333333333334;0.3333333333333333333333333334;0.2000000000000000000000000000;13.33333333333333333333333333;86.66666666666666666666666668
